order_id,date_id,product_id,supplier_id,warehouse_id,region,order_qty,forecasted_qty,unit_cost,total_order_value,actual_lead_days,promised_lead_days,on_time_delivery,forecast_accuracy_pct,stockout_flag,return_flag
ORD00055,20241230,PRD016,SUP010,WH002,South,246,255,928.82,228489.72,13,4,0,96.47,0,0
ORD00056,20230611,PRD030,SUP005,WH001,South,53,48,594.75,31521.75,20,5,0,89.58,0,0
ORD00057,20230721,PRD020,SUP007,WH003,East,248,285,732.91,181761.68,21,11,0,87.02,0,0
ORD00058,20250922,PRD032,SUP004,WH006,South,439,419,717.71,315074.69,18,7,0,95.23,0,0
ORD00059,20230927,PRD024,SUP008,WH006,East,106,119,484.39,51345.34,18,8,0,89.08,0,0
ORD00060,20250326,PRD023,SUP009,WH004,South,107,121,278.71,29821.97,4,12,1,88.43,0,0
ORD00061,20240331,PRD017,SUP003,WH001,West,384,436,1040.45,399532.8,3,11,1,88.07,0,0
ORD00062,20251013,PRD016,SUP007,WH001,International,333,358,928.82,309297.06,16,3,0,93.02,0,0
ORD00063,20231023,PRD006,SUP010,WH004,North,470,435,242.61,114026.7,7,18,1,91.95,0,0
ORD00064,20241220,PRD008,SUP009,WH003,West,467,414,911.77,425796.59,7,8,1,87.2,0,0
ORD00065,20231204,PRD019,SUP001,WH006,International,62,63,429.55,26632.1,2,18,1,98.41,0,0
ORD00066,20250528,PRD030,SUP002,WH005,East,118,113,594.75,70180.5,16,5,0,95.58,0,0
ORD00067,20251212,PRD025,SUP007,WH003,North,266,292,1052.26,279901.16,5,16,1,91.1,0,0
ORD00068,20250302,PRD026,SUP002,WH004,East,20,21,477.78,9555.6,21,10,0,95.24,0,0
ORD00069,20230805,PRD002,SUP007,WH005,East,187,174,297.65,55660.55,8,16,1,92.53,0,0
ORD00070,20250202,PRD014,SUP001,WH001,North,402,344,744.13,299140.26,8,17,1,83.14,0,0
ORD00071,20230707,PRD022,SUP003,WH003,International,303,279,267.44,81034.32,11,12,1,91.4,0,0
ORD00072,20240115,PRD012,SUP005,WH003,North,480,490,877.03,420974.4,20,19,0,97.96,0,0
ORD00073,20240507,PRD017,SUP006,WH006,South,406,355,1040.45,422422.7,10,10,1,85.63,0,0
ORD00074,20251130,PRD028,SUP009,WH006,East,398,417,897.68,357276.64,1,6,1,95.44,0,0
ORD00075,20230115,PRD027,SUP009,WH005,South,34,36,171.86,5843.24,6,12,1,94.44,0,0
ORD00076,20230306,PRD015,SUP003,WH001,North,135,122,846.96,114339.6,7,6,0,89.34,1,0
ORD00077,20240604,PRD018,SUP008,WH003,North,275,283,764.64,210276.0,17,6,0,97.17,0,0
ORD00078,20241009,PRD016,SUP004,WH005,International,142,147,928.82,131892.44,24,12,0,96.6,0,0
ORD00079,20251222,PRD032,SUP007,WH003,East,287,285,717.71,205982.77,16,5,0,99.3,0,0
ORD00080,20240815,PRD013,SUP006,WH006,West,51,58,99.17,5057.67,14,16,1,87.93,0,0
ORD00081,20240127,PRD021,SUP008,WH001,North,482,425,200.27,96530.14,24,16,0,86.59,0,0
ORD00082,20240223,PRD017,SUP006,WH001,West,110,107,1040.45,114449.5,3,16,1,97.2,0,0
ORD00083,20231016,PRD008,SUP004,WH002,East,413,460,911.77,376561.01,9,9,1,89.78,0,0
ORD00084,20240114,PRD001,SUP002,WH005,South,293,283,769.12,225352.16,10,11,1,96.47,0,1
ORD00085,20230819,PRD029,SUP007,WH006,East,286,280,482.28,137932.08,3,4,1,97.86,0,0
ORD00086,20251014,PRD025,SUP004,WH006,International,148,155,1052.26,155734.48,12,5,0,95.48,0,0
ORD00087,20230210,PRD026,SUP009,WH006,West,230,241,477.78,109889.4,4,14,1,95.44,0,0
ORD00088,20251117,PRD027,SUP009,WH004,West,78,67,171.86,13405.08,12,18,1,83.58,0,0
ORD00089,20230515,PRD003,SUP007,WH003,South,302,298,813.66,245725.32,22,9,0,98.66,0,0
ORD00090,20230720,PRD016,SUP005,WH001,South,186,177,928.82,172760.52,23,14,0,94.92,0,0
ORD00091,20250218,PRD028,SUP003,WH003,North,382,397,897.68,342913.76,13,12,0,96.22,0,0
ORD00092,20250718,PRD002,SUP003,WH003,East,206,209,297.65,61315.9,24,5,0,98.56,0,0
ORD00093,20251122,PRD015,SUP009,WH004,International,42,44,846.96,35572.32,7,10,1,95.45,0,0
ORD00094,20251207,PRD001,SUP009,WH001,North,310,324,769.12,238427.2,19,9,0,95.68,0,0
ORD00095,20240517,PRD009,SUP004,WH002,East,237,220,411.6,97549.2,18,11,0,92.27,0,0
ORD00096,20240211,PRD016,SUP001,WH006,South,145,134,928.82,134678.9,18,7,0,91.79,1,0
ORD00097,20250315,PRD031,SUP010,WH005,International,381,366,187.65,71494.65,9,11,1,95.9,0,1
ORD00098,20230409,PRD004,SUP005,WH003,South,143,132,509.2,72815.6,7,18,1,91.67,0,0
ORD00099,20241114,PRD012,SUP008,WH004,South,408,430,877.03,357828.24,7,11,1,94.88,1,0
ORD00100,20241226,PRD001,SUP010,WH004,West,152,157,769.12,116906.24,21,14,0,96.82,1,0
ORD00101,20250818,PRD001,SUP004,WH005,East,254,232,769.12,195356.48,13,17,1,90.52,0,0
ORD00102,20240904,PRD007,SUP010,WH005,North,146,163,541.8,79102.8,6,11,1,89.57,0,0
ORD00103,20241004,PRD032,SUP010,WH001,West,70,69,717.71,50239.7,7,5,0,98.55,0,0
ORD00104,20251025,PRD018,SUP004,WH003,East,65,58,764.64,49701.6,13,13,1,87.93,0,0
ORD00105,20240517,PRD023,SUP009,WH003,East,142,130,278.71,39576.82,20,8,0,90.77,0,0
ORD00106,20250205,PRD028,SUP009,WH005,East,391,396,897.68,350992.88,6,11,1,98.74,0,0
ORD00107,20240202,PRD031,SUP007,WH006,International,419,399,187.65,78625.35,17,5,0,94.99,0,0
ORD00108,20250520,PRD023,SUP010,WH002,West,480,531,278.71,133780.8,23,11,0,90.4,0,0
ORD00109,20250305,PRD015,SUP008,WH003,North,217,217,846.96,183790.32,20,5,0,100.0,0,0
ORD00110,20240128,PRD026,SUP004,WH004,West,135,152,477.78,64500.3,18,6,0,88.82,0,0
ORD00111,20230726,PRD030,SUP008,WH006,South,132,116,594.75,78507.0,20,15,0,86.21,0,0
ORD00112,20251104,PRD025,SUP006,WH005,East,450,473,1052.26,473517.0,8,19,1,95.14,0,0
ORD00113,20250610,PRD013,SUP003,WH003,South,240,268,99.17,23800.8,18,4,0,89.55,0,0
ORD00114,20250513,PRD016,SUP007,WH001,West,44,41,928.82,40868.08,15,18,1,92.68,0,0
ORD00115,20250112,PRD007,SUP003,WH005,North,275,245,541.8,148995.0,1,3,1,87.76,0,0
ORD00116,20240717,PRD016,SUP007,WH004,South,100,99,928.82,92882.0,1,5,1,98.99,1,0
ORD00117,20251017,PRD013,SUP005,WH001,South,473,538,99.17,46907.41,7,18,1,87.92,0,0
ORD00118,20230406,PRD014,SUP004,WH005,International,30,31,744.13,22323.9,16,8,0,96.77,0,0
ORD00119,20240429,PRD017,SUP003,WH005,West,149,155,1040.45,155027.05,23,10,0,96.13,0,0
ORD00120,20230819,PRD012,SUP008,WH003,South,274,288,877.03,240306.22,20,7,0,95.14,0,0
ORD00121,20250118,PRD029,SUP004,WH001,West,409,353,482.28,197252.52,14,10,0,84.14,1,0
ORD00122,20240624,PRD032,SUP008,WH005,North,466,458,717.71,334452.86,21,3,0,98.25,0,0
ORD00123,20251125,PRD024,SUP010,WH006,South,129,113,484.39,62486.31,12,4,0,85.84,0,0
ORD00124,20240608,PRD024,SUP003,WH004,North,230,217,484.39,111409.7,5,8,1,94.01,0,0
ORD00125,20240731,PRD020,SUP010,WH001,South,447,490,732.91,327610.77,7,8,1,91.22,0,0
ORD00126,20241112,PRD013,SUP009,WH006,East,392,410,99.17,38874.64,12,11,0,95.61,0,0
ORD00127,20240710,PRD024,SUP006,WH003,International,32,37,484.39,15500.48,19,3,0,86.49,0,0
ORD00128,20251009,PRD020,SUP005,WH002,International,48,43,732.91,35179.68,5,4,0,88.37,0,0
ORD00129,20241007,PRD015,SUP005,WH005,International,244,236,846.96,206658.24,7,18,1,96.61,0,0
ORD00130,20250306,PRD024,SUP003,WH002,North,250,273,484.39,121097.5,7,11,1,91.58,0,0
ORD00131,20251117,PRD021,SUP002,WH005,West,137,125,200.27,27436.99,13,7,0,90.4,0,0
ORD00132,20230709,PRD004,SUP006,WH006,International,481,431,509.2,244925.2,20,13,0,88.4,0,0
ORD00133,20240924,PRD022,SUP001,WH003,South,31,30,267.44,8290.64,17,16,0,96.67,1,0
ORD00134,20240919,PRD002,SUP007,WH003,South,64,62,297.65,19049.6,5,15,1,96.77,0,0
ORD00135,20250830,PRD028,SUP005,WH003,East,424,485,897.68,380616.32,14,5,0,87.42,0,0
ORD00136,20241210,PRD018,SUP004,WH003,North,339,335,764.64,259212.96,11,4,0,98.81,0,0
ORD00137,20241010,PRD002,SUP009,WH001,South,56,62,297.65,16668.4,20,18,0,90.32,0,0
ORD00138,20231114,PRD025,SUP010,WH001,South,243,271,1052.26,255699.18,19,13,0,89.67,0,0
ORD00139,20241114,PRD015,SUP001,WH005,East,36,32,846.96,30490.56,23,5,0,87.5,0,0
ORD00140,20241025,PRD030,SUP004,WH001,East,393,418,594.75,233736.75,4,17,1,94.02,1,0
ORD00141,20240317,PRD026,SUP003,WH005,West,491,458,477.78,234589.98,22,5,0,92.79,0,0
ORD00142,20240717,PRD019,SUP006,WH001,West,57,50,429.55,24484.35,17,6,0,86.0,1,0
ORD00143,20250809,PRD015,SUP005,WH001,West,176,196,846.96,149064.96,17,7,0,89.8,0,0
ORD00144,20241129,PRD026,SUP007,WH001,South,481,451,477.78,229812.18,3,11,1,93.35,0,0
ORD00145,20230423,PRD020,SUP001,WH004,East,414,395,732.91,303424.74,14,9,0,95.19,0,0
ORD00146,20230102,PRD010,SUP005,WH003,North,280,265,127.14,35599.2,21,15,0,94.34,0,0
ORD00147,20241003,PRD028,SUP002,WH004,West,90,82,897.68,80791.2,6,17,1,90.24,0,0
ORD00148,20230808,PRD024,SUP002,WH001,International,127,125,484.39,61517.53,10,14,1,98.4,0,0
ORD00149,20250504,PRD020,SUP002,WH001,South,54,53,732.91,39577.14,17,12,0,98.11,0,0
ORD00150,20240120,PRD011,SUP009,WH004,North,284,276,1017.76,289043.84,2,19,1,97.1,0,0
ORD00151,20251212,PRD026,SUP010,WH006,South,190,214,477.78,90778.2,12,8,0,88.79,0,0
ORD00152,20241230,PRD010,SUP003,WH005,West,482,459,127.14,61281.48,24,13,0,94.99,0,0
ORD00153,20230904,PRD029,SUP004,WH003,South,320,275,482.28,154329.6,21,5,0,83.64,0,0
ORD00154,20250415,PRD023,SUP005,WH005,West,241,218,278.71,67169.11,16,8,0,89.45,1,0
ORD00155,20230722,PRD005,SUP004,WH006,South,95,101,283.03,26887.85,16,14,0,94.06,0,0
ORD00156,20230503,PRD009,SUP004,WH003,West,114,117,411.6,46922.4,3,5,1,97.44,0,0
ORD00157,20240205,PRD020,SUP005,WH002,East,252,286,732.91,184693.32,18,4,0,88.11,0,0
ORD00158,20250205,PRD019,SUP010,WH003,East,186,197,429.55,79896.3,7,5,0,94.42,0,0
ORD00159,20231021,PRD013,SUP009,WH005,East,243,221,99.17,24098.31,10,15,1,90.05,0,0
ORD00160,20231007,PRD018,SUP009,WH003,East,87,77,764.64,66523.68,8,11,1,87.01,0,0
ORD00161,20250602,PRD017,SUP006,WH002,East,135,136,1040.45,140460.75,18,19,1,99.26,0,0
ORD00162,20230717,PRD027,SUP003,WH002,International,198,208,171.86,34028.28,17,16,0,95.19,0,0
ORD00163,20250908,PRD006,SUP006,WH001,South,69,62,242.61,16740.09,3,10,1,88.71,0,0
ORD00164,20250121,PRD010,SUP010,WH002,East,229,236,127.14,29115.06,8,6,0,97.03,0,0
ORD00165,20230524,PRD002,SUP004,WH004,International,85,94,297.65,25300.25,20,3,0,90.43,0,0
ORD00166,20240831,PRD024,SUP003,WH005,International,100,107,484.39,48439.0,5,12,1,93.46,0,0
ORD00167,20230706,PRD006,SUP006,WH004,South,125,131,242.61,30326.25,20,15,0,95.42,1,0
ORD00168,20240408,PRD028,SUP006,WH006,South,289,314,897.68,259429.52,12,4,0,92.04,0,0
ORD00169,20241021,PRD028,SUP002,WH004,West,479,422,897.68,429988.72,6,7,1,86.49,0,0
ORD00170,20250202,PRD021,SUP009,WH005,West,176,160,200.27,35247.52,23,8,0,90.0,0,0
ORD00171,20250812,PRD013,SUP008,WH006,East,135,116,99.17,13387.95,24,3,0,83.62,0,0
ORD00172,20240207,PRD018,SUP006,WH004,North,454,406,764.64,347146.56,10,7,0,88.18,0,0
ORD00173,20230527,PRD007,SUP001,WH004,West,242,272,541.8,131115.6,10,17,1,88.97,1,0
ORD00174,20250513,PRD002,SUP002,WH006,North,123,113,297.65,36610.95,1,10,1,91.15,1,1
ORD00175,20240503,PRD029,SUP004,WH004,West,496,520,482.28,239210.88,9,6,0,95.38,0,0
ORD00176,20250717,PRD014,SUP007,WH002,International,109,115,744.13,81110.17,18,9,0,94.78,0,0
ORD00177,20240704,PRD005,SUP009,WH005,International,160,167,283.03,45284.8,3,10,1,95.81,0,0
ORD00178,20231204,PRD018,SUP010,WH005,International,81,82,764.64,61935.84,1,15,1,98.78,0,0
ORD00179,20250521,PRD011,SUP005,WH005,North,485,483,1017.76,493613.6,10,6,0,99.59,0,0
ORD00180,20241002,PRD010,SUP010,WH004,East,379,370,127.14,48186.06,3,15,1,97.57,0,0
ORD00181,20240417,PRD011,SUP002,WH002,West,358,403,1017.76,364358.08,18,16,0,88.83,0,1
ORD00182,20230531,PRD027,SUP001,WH005,West,472,403,171.86,81117.92,7,11,1,82.88,1,0
ORD00183,20230920,PRD002,SUP010,WH003,North,176,152,297.65,52386.4,7,14,1,84.21,1,0
ORD00184,20230524,PRD015,SUP001,WH005,International,81,81,846.96,68603.76,22,11,0,100.0,0,0
ORD00185,20231212,PRD007,SUP005,WH001,East,357,339,541.8,193422.6,10,3,0,94.69,0,0
ORD00186,20240915,PRD009,SUP007,WH003,West,362,352,411.6,148999.2,13,11,0,97.16,0,0
ORD00187,20251013,PRD005,SUP009,WH005,East,20,23,283.03,5660.6,4,9,1,86.96,0,0
ORD00188,20250530,PRD007,SUP009,WH004,East,307,332,541.8,166332.6,12,3,0,92.47,0,0
ORD00189,20230102,PRD020,SUP008,WH005,South,238,265,732.91,174432.58,3,4,1,89.81,0,0
ORD00190,20250615,PRD002,SUP001,WH002,East,135,130,297.65,40182.75,23,10,0,96.15,0,0
ORD00191,20230911,PRD003,SUP005,WH002,South,162,149,813.66,131812.92,16,3,0,91.28,0,1
ORD00192,20240328,PRD002,SUP006,WH005,North,171,185,297.65,50898.15,11,5,0,92.43,0,0
ORD00193,20251126,PRD021,SUP006,WH004,International,287,313,200.27,57477.49,3,3,1,91.69,0,0
ORD00194,20251011,PRD022,SUP004,WH004,South,395,401,267.44,105638.8,8,5,0,98.5,0,0
ORD00195,20230109,PRD031,SUP001,WH004,East,188,210,187.65,35278.2,7,10,1,89.52,0,0
ORD00196,20250326,PRD031,SUP003,WH005,International,153,174,187.65,28710.45,14,14,1,87.93,0,0
ORD00197,20230727,PRD023,SUP010,WH005,East,148,147,278.71,41249.08,2,9,1,99.32,0,0
ORD00198,20240208,PRD019,SUP004,WH001,East,215,197,429.55,92353.25,10,3,0,90.86,0,0
ORD00199,20230601,PRD004,SUP004,WH002,South,105,106,509.2,53466.0,3,5,1,99.06,0,1
ORD00200,20230223,PRD024,SUP004,WH003,North,223,256,484.39,108018.97,24,14,0,87.11,0,0
ORD00201,20240919,PRD020,SUP005,WH003,East,78,73,732.91,57166.98,11,10,0,93.15,0,0
ORD00202,20240809,PRD007,SUP009,WH002,South,365,378,541.8,197757.0,19,11,0,96.56,0,0
ORD00203,20230414,PRD028,SUP004,WH006,East,480,508,897.68,430886.4,8,17,1,94.49,0,0
ORD00204,20230911,PRD022,SUP009,WH001,International,327,299,267.44,87452.88,20,13,0,90.64,1,1
ORD00205,20240524,PRD007,SUP009,WH002,North,28,29,541.8,15170.4,5,8,1,96.55,0,0
ORD00206,20230409,PRD017,SUP001,WH001,East,422,399,1040.45,439069.9,9,7,0,94.24,0,0
ORD00207,20230602,PRD019,SUP005,WH006,North,435,481,429.55,186854.25,13,7,0,90.44,0,0
ORD00208,20250702,PRD022,SUP009,WH001,North,416,443,267.44,111255.04,11,18,1,93.91,0,0
ORD00209,20250527,PRD016,SUP004,WH004,International,325,357,928.82,301866.5,2,17,1,91.04,0,0
ORD00210,20231204,PRD003,SUP005,WH002,International,466,424,813.66,379165.56,12,13,1,90.09,0,0
ORD00211,20250401,PRD032,SUP004,WH003,West,411,354,717.71,294978.81,3,19,1,83.9,0,0
ORD00212,20250814,PRD015,SUP002,WH005,North,360,398,846.96,304905.6,15,19,1,90.45,0,0
ORD00213,20230610,PRD014,SUP010,WH006,East,110,106,744.13,81854.3,1,17,1,96.23,0,0
ORD00214,20250311,PRD015,SUP002,WH006,International,90,81,846.96,76226.4,24,15,0,88.89,0,0
ORD00215,20240202,PRD032,SUP002,WH005,East,192,168,717.71,137800.32,11,18,1,85.71,0,0
ORD00216,20250326,PRD032,SUP001,WH002,North,27,27,717.71,19378.17,10,3,0,100.0,0,0
ORD00217,20240205,PRD014,SUP003,WH005,International,164,147,744.13,122037.32,3,15,1,88.44,0,0
ORD00218,20241001,PRD007,SUP010,WH001,West,350,357,541.8,189630.0,14,6,0,98.04,0,0
ORD00219,20251122,PRD025,SUP001,WH005,North,138,147,1052.26,145211.88,21,14,0,93.88,0,0
ORD00220,20241118,PRD003,SUP004,WH001,East,489,494,813.66,397879.74,16,17,1,98.99,0,0
ORD00221,20240404,PRD030,SUP001,WH001,West,407,456,594.75,242063.25,9,14,1,89.25,0,0
ORD00222,20250812,PRD017,SUP004,WH003,North,324,291,1040.45,337105.8,14,17,1,88.66,0,0
ORD00223,20240414,PRD010,SUP003,WH005,International,375,374,127.14,47677.5,21,7,0,99.73,0,0
ORD00224,20251111,PRD015,SUP009,WH003,North,471,423,846.96,398918.16,1,13,1,88.65,0,0
ORD00225,20250119,PRD029,SUP001,WH005,South,170,189,482.28,81987.6,1,12,1,89.95,1,0
ORD00226,20230207,PRD006,SUP008,WH001,East,429,485,242.61,104079.69,4,15,1,88.45,0,0
ORD00227,20230818,PRD028,SUP009,WH005,International,128,124,897.68,114903.04,23,17,0,96.77,0,0
ORD00228,20240716,PRD017,SUP007,WH006,International,432,407,1040.45,449474.4,23,10,0,93.86,1,0
ORD00229,20240313,PRD017,SUP001,WH006,South,385,360,1040.45,400573.25,23,5,0,93.06,0,0
ORD00230,20230127,PRD014,SUP004,WH003,West,341,378,744.13,253748.33,22,13,0,90.21,0,0
ORD00231,20230814,PRD024,SUP010,WH004,International,182,192,484.39,88158.98,1,7,1,94.79,0,0
ORD00232,20250308,PRD025,SUP001,WH006,West,162,180,1052.26,170466.12,19,14,0,90.0,0,0
ORD00233,20231011,PRD018,SUP004,WH003,West,408,361,764.64,311973.12,21,3,0,86.98,0,0
ORD00234,20250528,PRD025,SUP003,WH004,West,29,29,1052.26,30515.54,12,8,0,100.0,0,0
ORD00235,20250817,PRD005,SUP002,WH002,North,43,45,283.03,12170.29,20,8,0,95.56,0,0
ORD00236,20240328,PRD029,SUP001,WH003,South,323,361,482.28,155776.44,4,14,1,89.47,0,0
ORD00237,20251016,PRD008,SUP006,WH006,East,69,67,911.77,62912.13,9,17,1,97.01,0,0
ORD00238,20250326,PRD007,SUP007,WH006,South,471,445,541.8,255187.8,7,6,0,94.16,0,0
ORD00239,20241020,PRD023,SUP006,WH005,International,167,188,278.71,46544.57,14,14,1,88.83,0,0
ORD00240,20240630,PRD032,SUP009,WH004,South,373,322,717.71,267705.83,23,9,0,84.16,0,0
ORD00241,20251208,PRD004,SUP009,WH006,East,406,404,509.2,206735.2,3,7,1,99.5,0,0
ORD00242,20230117,PRD018,SUP002,WH005,North,215,212,764.64,164397.6,15,5,0,98.58,0,0
ORD00243,20230607,PRD005,SUP002,WH004,International,102,91,283.03,28869.06,11,7,0,87.91,0,0
ORD00244,20240421,PRD016,SUP009,WH003,North,227,220,928.82,210842.14,10,19,1,96.82,0,0
ORD00245,20251205,PRD014,SUP001,WH003,International,332,354,744.13,247051.16,20,8,0,93.79,0,0
ORD00246,20240601,PRD027,SUP005,WH005,East,98,94,171.86,16842.28,15,4,0,95.74,0,0
ORD00247,20230409,PRD027,SUP001,WH003,North,484,456,171.86,83180.24,17,17,1,93.86,0,0
ORD00248,20251126,PRD019,SUP007,WH005,East,182,197,429.55,78178.1,19,5,0,92.39,0,0
ORD00249,20231007,PRD031,SUP009,WH001,East,49,56,187.65,9194.85,11,3,0,87.5,0,0
ORD00250,20240511,PRD014,SUP006,WH004,South,473,513,744.13,351973.49,20,9,0,92.2,0,0
ORD00251,20231029,PRD009,SUP002,WH005,International,431,476,411.6,177399.6,16,12,0,90.55,0,0
ORD00252,20230630,PRD006,SUP006,WH004,West,212,240,242.61,51433.32,4,11,1,88.33,0,0
ORD00253,20240829,PRD017,SUP009,WH001,West,230,251,1040.45,239303.5,7,18,1,91.63,0,0
ORD00254,20241130,PRD019,SUP003,WH004,North,56,64,429.55,24054.8,11,17,1,87.5,1,0
ORD00255,20250919,PRD012,SUP009,WH005,East,252,271,877.03,221011.56,20,15,0,92.99,0,0
ORD00256,20230710,PRD004,SUP008,WH003,South,97,102,509.2,49392.4,24,10,0,95.1,0,0
ORD00257,20230910,PRD016,SUP007,WH004,International,166,176,928.82,154184.12,17,13,0,94.32,0,0
ORD00258,20250907,PRD025,SUP008,WH004,North,171,192,1052.26,179936.46,19,3,0,89.06,0,0
ORD00259,20250716,PRD011,SUP010,WH006,East,404,426,1017.76,411175.04,10,10,1,94.84,0,0
